date,staff_id,reason,old_asset_model,old_asset_serial_number,replaced_asset_model,replaced_asset_serial_number,hostname,issue,remarks
2024-04-10,680051935,breakfix,JBL Wireless Headset,WH-DEB846F0CB,JBL Wireless Headset,WH-07A12EA0EF,HOST-1409,software,Performance issue
2025-06-10,131656371,breakfix,Wireless Headset Cushion,WH-352BAE8EF8,Wireless Headset Cushion,WH-1003698E01,HOST-2679,hardware,User requested replacement
2024-11-18,780645895,breakfix,Dell Laptop X12 Model,LAP-B00D1FAAC9,Dell Laptop X12 Model,LAP-24D891472D,HOST-1488,hardware,Performance issue
2025-05-31,460613550,new joiner,Dell Laptop X12 Model,LAP-261F29D181,Dell Laptop X12 Model,LAP-4006DEFB64,HOST-1434,hardware,User requested replacement
2024-11-21,835126913,breakfix,Dell Laptop X12 Model,LAP-3E9F36B18E,Dell Laptop X12 Model,LAP-7F1C0232E4,HOST-8359,software,Device not powering on
2025-08-14,219100072,new joiner,HP Book 2.0 Model,LAP-FF794F8196,HP Book 2.0 Model,LAP-BFEC7372EF,HOST-7924,software,Physical damage
2025-08-18,196201527,breakfix,JBL Wireless Headset,WH-7F424C35E9,JBL Wireless Headset,WH-0C3A8A98F4,HOST-6514,hardware,Device not powering on
2024-12-31,456838867,breakfix,Dell Laptop X12 Model,LAP-83E9DD0E7B,Dell Laptop X12 Model,LAP-D20CD189CD,HOST-6881,software,User requested replacement
2025-04-29,578090317,breakfix,HP Book 2.0 Model,LAP-0ABD0617FF,HP Book 2.0 Model,LAP-606F515577,HOST-8527,hardware,OS corruption
2025-11-05,153773200,new joiner,JBL Wireless Headset,WH-4B018F6001,JBL Wireless Headset,WH-4C10AE426E,HOST-5803,software,User requested replacement
2025-07-12,996437267,new joiner,HP Book 2.0 Model,LAP-99761AFBDE,HP Book 2.0 Model,LAP-5FFBF8AB8C,HOST-2139,hardware,Performance issue
2025-04-03,893276164,breakfix,JBL Wireless Headset,WH-BEE6D8ECB8,JBL Wireless Headset,WH-D6A35AE78C,HOST-4814,hardware,OS corruption
2025-04-15,638339044,transfer,Dell Laptop X12 Model,LAP-A78FD0A5B4,Dell Laptop X12 Model,LAP-AD26A829CC,HOST-6977,hardware,Physical damage
2025-01-26,720248205,breakfix,HP Book 2.0 Model,LAP-82698113AA,HP Book 2.0 Model,LAP-19A587B83C,HOST-5374,hardware,User requested replacement
2024-04-14,391878557,breakfix,Dell Laptop X12 Model,LAP-CB3C6D4113,Dell Laptop X12 Model,LAP-2708DBC711,HOST-9751,hardware,Performance issue
2024-10-08,732773408,transfer,Dell Laptop X12 Model,LAP-0542CC605F,Dell Laptop X12 Model,LAP-31D38EA0B5,HOST-5422,hardware,Physical damage
2025-11-28,362950628,breakfix,HP Book 2.0 Model,LAP-2D2DB51E17,HP Book 2.0 Model,LAP-859109E2FB,HOST-1525,software,OS corruption
2025-04-25,463925049,breakfix,Wireless Headset Cushion,WH-D5C9A29BD9,Wireless Headset Cushion,WH-22D4C7ABE7,HOST-4456,software,Performance issue
2024-03-24,897110135,transfer,Dell Laptop X12 Model,LAP-2E47055B06,Dell Laptop X12 Model,LAP-2FFC2E672F,HOST-7482,software,Performance issue
2025-04-28,879394493,breakfix,JBL Wireless Headset,WH-7668FA8021,JBL Wireless Headset,WH-AD880066A0,HOST-5040,software,User requested replacement
2024-11-12,256819248,new joiner,JBL Wireless Headset,WH-6C9E46CA79,JBL Wireless Headset,WH-3A4961808F,HOST-7543,software,Performance issue
2025-09-05,420571903,new joiner,HP Book 2.0 Model,LAP-6A1894484E,HP Book 2.0 Model,LAP-036B3BC1EC,HOST-9085,hardware,Device not powering on
2025-10-04,113921319,breakfix,HP Book 2.0 Model,LAP-F274318DF8,HP Book 2.0 Model,LAP-1897E49299,HOST-3621,software,User requested replacement
2025-11-20,901179178,transfer,HP Book 2.0 Model,LAP-E6C68AEC21,HP Book 2.0 Model,LAP-447860C7C2,HOST-7252,software,User requested replacement
2025-05-12,259272239,new joiner,HP Book 2.0 Model,LAP-6993F5D4B5,HP Book 2.0 Model,LAP-D6172426FE,HOST-1188,hardware,User requested replacement
2025-04-26,847829989,new joiner,HP Book 2.0 Model,LAP-72C938C524,HP Book 2.0 Model,LAP-C05983EA12,HOST-6573,hardware,Physical damage
2024-11-05,503786306,breakfix,Wireless Headset Cushion,WH-BAABABFE89,Wireless Headset Cushion,WH-EF4324F2CD,HOST-8433,hardware,Physical damage
2024-08-30,503111666,breakfix,HP Book 2.0 Model,LAP-F7EFFE84BA,HP Book 2.0 Model,LAP-DC78641E5F,HOST-9317,hardware,Physical damage
2024-04-10,594967982,new joiner,HP Book 2.0 Model,LAP-95DB8133F2,HP Book 2.0 Model,LAP-87BAB56F1A,HOST-4258,hardware,Physical damage
2025-08-12,696115913,new joiner,Dell Laptop X12 Model,LAP-7B24AB0C15,Dell Laptop X12 Model,LAP-3E355785E7,HOST-9689,hardware,User requested replacement
2025-02-27,303431575,transfer,HP Book 2.0 Model,LAP-5770CA483C,HP Book 2.0 Model,LAP-AE6A0421D6,HOST-1319,hardware,Physical damage
2025-03-16,923935280,breakfix,Dell Laptop X12 Model,LAP-564829BE00,Dell Laptop X12 Model,LAP-9ACA8B0FE6,HOST-1949,hardware,User requested replacement
2025-11-05,421455482,breakfix,HP Book 2.0 Model,LAP-1439D50A73,HP Book 2.0 Model,LAP-7A316C7E53,HOST-8962,hardware,User requested replacement
2025-09-18,870854579,breakfix,JBL Wireless Headset,WH-860034E4CB,JBL Wireless Headset,WH-F041E0E317,HOST-8787,hardware,Physical damage
2024-08-02,435997460,new joiner,Dell Laptop X12 Model,LAP-17119D63F0,Dell Laptop X12 Model,LAP-B228677B23,HOST-7932,hardware,User requested replacement
2024-02-18,881503560,breakfix,Wireless Headset Cushion,WH-177A18AEC0,Wireless Headset Cushion,WH-A8BB07515B,HOST-6107,software,Physical damage
2024-11-02,632928920,new joiner,Wireless Headset Cushion,WH-5CD164F2AC,Wireless Headset Cushion,WH-39A7C51C37,HOST-8397,hardware,Performance issue
2025-06-08,497513146,breakfix,Dell Laptop X12 Model,LAP-87574CF538,Dell Laptop X12 Model,LAP-9E1C23F737,HOST-6539,hardware,User requested replacement
2024-07-06,653380476,breakfix,HP Book 2.0 Model,LAP-EE562C1D96,HP Book 2.0 Model,LAP-74C12C0E3D,HOST-4608,hardware,Device not powering on
2024-01-31,844704803,new joiner,HP Book 2.0 Model,LAP-22F3455916,HP Book 2.0 Model,LAP-42629EB000,HOST-1964,hardware,Device not powering on
2025-12-23,588293766,transfer,Wireless Headset Cushion,WH-FC66D0CFCB,Wireless Headset Cushion,WH-04F6984053,HOST-2160,hardware,Physical damage
2024-03-10,490816787,transfer,HP Book 2.0 Model,LAP-40E54AC41A,HP Book 2.0 Model,LAP-68D8BDB978,HOST-4510,hardware,User requested replacement
2024-06-13,439368482,transfer,HP Book 2.0 Model,LAP-E99BB057D2,HP Book 2.0 Model,LAP-0EBC6AEF53,HOST-4981,software,OS corruption
2025-07-14,492750748,breakfix,JBL Wireless Headset,WH-C5D138C732,JBL Wireless Headset,WH-040C6A95EA,HOST-2588,software,Physical damage
2024-11-17,758276886,transfer,HP Book 2.0 Model,LAP-5FB89B3378,HP Book 2.0 Model,LAP-6A58468253,HOST-8651,hardware,Device not powering on
2025-11-23,992620629,transfer,JBL Wireless Headset,WH-B8ACE0CF79,JBL Wireless Headset,WH-1760F205B9,HOST-6559,hardware,Performance issue
2025-07-12,544573290,breakfix,HP Book 2.0 Model,LAP-B8AEE589D0,HP Book 2.0 Model,LAP-E12837E8A3,HOST-9786,software,Performance issue
2024-11-18,768676781,breakfix,JBL Wireless Headset,WH-BA67FA86FD,JBL Wireless Headset,WH-9EC9770B4B,HOST-5563,software,Performance issue
2025-11-08,251770634,transfer,Dell Laptop X12 Model,LAP-A118EEB554,Dell Laptop X12 Model,LAP-9504B1C638,HOST-2604,hardware,User requested replacement
2026-01-09,945436943,breakfix,Wireless Headset Cushion,WH-3270B34739,Wireless Headset Cushion,WH-C86DD56E64,HOST-4872,hardware,OS corruption
2024-09-14,829693657,transfer,Dell Laptop X12 Model,LAP-A50DBD09DD,Dell Laptop X12 Model,LAP-F4BC0A98C9,HOST-4502,software,Device not powering on
2025-08-09,204821934,transfer,HP Book 2.0 Model,LAP-AE1B4C28C2,HP Book 2.0 Model,LAP-31A26E8064,HOST-1035,software,Physical damage
2024-10-16,519492143,transfer,HP Book 2.0 Model,LAP-6B60C53151,HP Book 2.0 Model,LAP-32CF33D5AA,HOST-7930,software,Performance issue
2025-07-14,749580994,transfer,Dell Laptop X12 Model,LAP-12FD14B252,Dell Laptop X12 Model,LAP-67EFDA7277,HOST-4566,hardware,User requested replacement
2024-07-18,511017218,breakfix,Wireless Headset Cushion,WH-E36BFBDCE6,Wireless Headset Cushion,WH-984953E211,HOST-6138,hardware,Device not powering on
2024-06-05,427124037,transfer,HP Book 2.0 Model,LAP-D75F980F7F,HP Book 2.0 Model,LAP-9F151BB886,HOST-9238,hardware,Device not powering on
2024-08-22,356071459,breakfix,HP Book 2.0 Model,LAP-9DF31B0EA7,HP Book 2.0 Model,LAP-26A4B7F7E1,HOST-4044,hardware,User requested replacement
2025-11-16,831424323,new joiner,HP Book 2.0 Model,LAP-12B5A1723F,HP Book 2.0 Model,LAP-61F7B41EE5,HOST-4853,software,Device not powering on
2024-06-20,906248900,breakfix,Dell Laptop X12 Model,LAP-50BBC189E4,Dell Laptop X12 Model,LAP-AED8E3244C,HOST-1651,hardware,OS corruption
2024-03-22,211190223,new joiner,HP Book 2.0 Model,LAP-D31DD4E267,HP Book 2.0 Model,LAP-BDCB4EE21C,HOST-9565,software,Physical damage
2025-06-29,840831347,new joiner,HP Book 2.0 Model,LAP-8CB1507B3E,HP Book 2.0 Model,LAP-456236F7AD,HOST-6147,hardware,Physical damage
2024-12-15,841433502,breakfix,Dell Laptop X12 Model,LAP-9D20684D7A,Dell Laptop X12 Model,LAP-D858422EB4,HOST-5915,software,Physical damage
2025-11-11,671789890,breakfix,JBL Wireless Headset,WH-32AE8111CF,JBL Wireless Headset,WH-6480743A22,HOST-8508,hardware,Device not powering on
