date,staff_id,req_id,accessories
10/1/2024,100099158,REQ9369885242,HDMI to VGA Connector| VGA Connector| Boat Wired Headset| Power Cable
9/6/2024,100182231,REQ9306990739,LAN Adapter| Keyboard| Boat Wired Headset| VGA Connector
3/18/2024,100197929,REQ3156792018,HP Book 2.0 Model| LAN Adapter| HDMI to VGA Connector| Power Cable| JBL Wireless Headset
3/2/2025,100210054,REQ2994012789,HP Book 2.0 Model| HDMI to VGA Connector| Mouse| Boat Wired Headset| Keyboard| VGA Connector| Wireless Headset Cushion
12/2/2024,100308454,REQ6330254025,Boat Wired Headset| VGA Connector| Wired Headset Cushion| LAN Cable
11/6/2024,100435874,REQ8863138232,HP Book 2.0 Model| Wired Headset Cushion| Power Cable| VGA Connector| JBL Wireless Headset
10/10/2025,100614068,REQ3265150206,Wired Headset Cushion| LAN Cable| Power Cable| Mouse| Keyboard
4/10/2025,100725768,REQ1528353758,HDMI to VGA Connector| Boat Wired Headset| Wired Headset Cushion| Keyboard
12/12/2025,100733897,REQ9937272146,HP Book 2.0 Model| Keyboard| HDMI to VGA Connector| LAN Cable| VGA Connector| Boat Wired Headset| JBL Wireless Headset
10/15/2024,100772905,REQ1430258498,HP Book 2.0 Model| HDMI to VGA Connector| Mouse| LAN Cable| Boat Wired Headset| Keyboard| Wireless Headset Cushion
10/21/2024,100905503,REQ7045736747,HP Book 2.0 Model| Wired Headset Cushion| Mouse| VGA Connector| LAN Adapter| Boat Wired Headset| Wireless Headset Cushion
9/3/2025,100931617,REQ6081137534,HP Book 2.0 Model| Wired Headset Cushion| Boat Wired Headset| LAN Adapter| Keyboard| Mouse| JBL Wireless Headset
12/22/2024,101166414,REQ8089062999,Wired Headset Cushion| Keyboard| VGA Connector| LAN Cable
5/16/2025,101235946,REQ1682419544,HP Book 2.0 Model| HDMI to VGA Connector| Wired Headset Cushion| LAN Cable| LAN Adapter| Wireless Headset Cushion
3/13/2025,101288710,REQ5041950526,HP Book 2.0 Model| HDMI to VGA Connector| LAN Cable| Wired Headset Cushion| Keyboard| JBL Wireless Headset
2/27/2024,101375634,REQ9491796858,HP Book 2.0 Model| Keyboard| HDMI to VGA Connector| Power Cable| Boat Wired Headset| Mouse| JBL Wireless Headset
4/6/2025,101464202,REQ8750840032,HP Book 2.0 Model| Power Cable| LAN Adapter| Wired Headset Cushion| HDMI to VGA Connector| LAN Cable| JBL Wireless Headset
4/1/2024,101569849,REQ7964879797,LAN Cable| HDMI to VGA Connector| Keyboard| Boat Wired Headset| VGA Connector
10/22/2024,101679695,REQ2274886145,HP Book 2.0 Model| Power Cable| Boat Wired Headset| VGA Connector| HDMI to VGA Connector| JBL Wireless Headset
7/21/2024,101697496,REQ9127122242,Boat Wired Headset| LAN Adapter| LAN Cable| HDMI to VGA Connector
7/6/2024,101815992,REQ4259899045,HP Book 2.0 Model| Boat Wired Headset| Power Cable| Wired Headset Cushion| Keyboard| Mouse| JBL Wireless Headset
3/5/2025,101930485,REQ7670223899,HP Book 2.0 Model| HDMI to VGA Connector| Wired Headset Cushion| Boat Wired Headset| LAN Adapter| LAN Cable| Wireless Headset Cushion
10/31/2024,102314313,REQ7600919521,Boat Wired Headset| LAN Adapter| Keyboard
