laptop_serial_number,laptop_model,status,end_of_life
LAP-C23EE238A1,Lenovo Laptop 324 Model,issued,yes
LAP-936B2BC1A7,MacBook M2 Model,issued,yes
LAP-7ADB95DC9D,Lenovo Laptop 324 Model,issued,n/a
LAP-14BB69E395,MacBook M2 Model,issued,no
LAP-E2B7937094,MacBook M2 Model,issued,no
LAP-242641EBC0,MacBook M2 Model,issued,no
LAP-6F2B31996B,Lenovo Laptop 324 Model,issued,yes
LAP-D2009A31DF,Lenovo Laptop 324 Model,issued,yes
LAP-9369B94487,MacBook M2 Model,issued,
LAP-20694B115C,MacBook M2 Model,issued,yes
LAP-CDA8F266B9,Lenovo Laptop 324 Model,issued,yes
LAP-76870550AE,MacBook M2 Model,issued,yes
LAP-6545655E53,Lenovo Laptop 324 Model,issued,no
LAP-7945E3870B,Lenovo Laptop 324 Model,issued,no
LAP-7B78225E6F,Lenovo Laptop 324 Model,issued,yes
LAP-27ED3886E7,MacBook M2 Model,issued,no
LAP-4E8D6A546E,MacBook M2 Model,issued,
LAP-83EAD67F6B,MacBook M2 Model,issued,no
LAP-90DA62BFEC,Lenovo Laptop 324 Model,issued,
LAP-2639D0D257,MacBook M2 Model,issued,n/a
LAP-F8465D40B9,Lenovo Laptop 324 Model,issued,yes
LAP-2CEDC6605C,MacBook M2 Model,issued,no
LAP-37DB855668,Lenovo Laptop 324 Model,issued,
LAP-48614214A9,Lenovo Laptop 324 Model,issued,n/a
LAP-F32D314FC9,MacBook M2 Model,issued,n/a
LAP-A4BB9C7FEE,Lenovo Laptop 324 Model,issued,no
LAP-4AD81089D3,MacBook M2 Model,issued,no
LAP-1E7172F194,MacBook M2 Model,issued,n/a
LAP-D852F108D7,MacBook M2 Model,issued,yes
LAP-4EC66684ED,Lenovo Laptop 324 Model,issued,yes
LAP-5B768E9B1A,Lenovo Laptop 324 Model,issued,
LAP-4F24CC62DE,Lenovo Laptop 324 Model,issued,yes
LAP-A536D57EE5,Lenovo Laptop 324 Model,issued,n/a
LAP-467DA0CB2C,Lenovo Laptop 324 Model,issued,n/a
LAP-8465D87D3F,Lenovo Laptop 324 Model,issued,n/a
